CanonicalSMILES	IsomericSMILES	InChI	InChIKey	MolecularFormula	MolecularWeight	XLogP	ExactMass	MonoisotopicMass	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	IsotopeAtomCount	CovalentUnitCount	Tanimoto
CC12CCC3C4(CCCC(C4CCC3(C1)CC2=O)(C)C(=O)O)C	C[C@]12CC[C@H]3[C@@]4(CCC[C@@]([C@H]4CC[C@@]3(C1)CC2=O)(C)C(=O)O)C	InChI=1S/C20H30O3/c1-17-9-5-14-18(2)7-4-8-19(3,16(22)23)13(18)6-10-20(14,12-17)11-15(17)21/h13-14H,4-12H2,1-3H3,(H,22,23)/t13-,14-,17-,18+,19+,20-/m0/s1	KFVUFODCZDRVSS-XGBBNYNSSA-N	C20H30O3	318.4	4.3	318.21949481	318.21949481	54.4	583	0	1	3	1	23	0	1	0.5686274509803921
CC12CCCC(C1CCC34C2CCC(C3)C(=C)C4)(C)C(=O)O	C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@H](C3)C(=C)C4)(C)C(=O)O	InChI=1S/C20H30O2/c1-13-11-20-10-7-15-18(2,16(20)6-5-14(13)12-20)8-4-9-19(15,3)17(21)22/h14-16H,1,4-12H2,2-3H3,(H,21,22)/t14-,15+,16+,18-,19-,20-/m1/s1	NIKHGUQULKYIGE-OTCXFQBHSA-N	C20H30O2	302.5	5.4	302.224580195	302.224580195	37.3	538	0	1	2	1	22	0	1	1.0
CC12CCCC(C1C(C34C2CCC(C3)C(=C)C4)C(=O)O)(C)C(=O)O	C[C@@]12CCC[C@@]([C@H]1[C@@H]([C@]34[C@H]2CC[C@H](C3)C(=C)C4)C(=O)O)(C)C(=O)O	InChI=1S/C20H28O4/c1-11-9-20-10-12(11)5-6-13(20)18(2)7-4-8-19(3,17(23)24)15(18)14(20)16(21)22/h12-15H,1,4-10H2,2-3H3,(H,21,22)(H,23,24)/t12-,13+,14-,15+,18+,19-,20+/m1/s1	UJFQJDAESQJXTG-UFUZVNNQSA-N	C20H28O4	332.4	3.9	332.19875937	332.19875937	74.6	640	0	2	4	2	24	0	1	0.5849056603773585
CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)O)(C)C(=O)O	C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O)(C)C(=O)O	InChI=1S/C20H30O3/c1-13-11-19-9-5-14-17(2,7-4-8-18(14,3)16(21)22)15(19)6-10-20(13,23)12-19/h14-15,23H,1,4-12H2,2-3H3,(H,21,22)/t14-,15-,17+,18+,19+,20-/m0/s1	QFVOYBUQQBFCRH-VQSWZGCSSA-N	C20H30O3	318.4	3.8	318.21949481	318.21949481	57.5	583	0	2	3	1	23	0	1	0.6326530612244898
CC(=C)C1CCC2(C1C3CCC4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)C)C)C(=O)O	CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CCC(=O)C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)C)C(=O)O	InChI=1S/C30H46O3/c1-18(2)19-10-15-30(25(32)33)17-16-28(6)20(24(19)30)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h19-22,24H,1,8-17H2,2-7H3,(H,32,33)/t19-,20+,21-,22+,24+,27-,28+,29+,30-/m0/s1	SLJTWDNVZKIDAU-SVAFSPIFSA-N	C30H46O3	454.7	7.9	454.34469533	454.34469533	54.4	902	0	1	3	2	33	0	1	0.2602739726027397
CC12CCC3C4(CCCC(C4CCC3(C1)CC2=O)(C)C(=O)O)C	C[C@]12CCC3[C@@]4(CCC[C@@](C4CC[C@@]3(C1)CC2=O)(C)C(=O)O)C	InChI=1S/C20H30O3/c1-17-9-5-14-18(2)7-4-8-19(3,16(22)23)13(18)6-10-20(14,12-17)11-15(17)21/h13-14H,4-12H2,1-3H3,(H,22,23)/t13?,14?,17-,18+,19+,20-/m0/s1	KFVUFODCZDRVSS-XCDUIVLNSA-N	C20H30O3	318.4	4.3	318.21949481	318.21949481	54.4	583	0	1	3	1	23	0	1	0.5686274509803921
CC12CCCC(C1CCC34C2CCC(C3)C(=C)C4O)(C)C(=O)O	CC12CCCC(C1CCC34C2CCC(C3)C(=C)C4O)(C)C(=O)O	InChI=1S/C20H30O3/c1-12-13-5-6-15-18(2)8-4-9-19(3,17(22)23)14(18)7-10-20(15,11-13)16(12)21/h13-16,21H,1,4-11H2,2-3H3,(H,22,23)	GVGJRXSJJHLPGZ-UHFFFAOYSA-N	C20H30O3	318.4	3.9	318.21949481	318.21949481	57.5	569	0	2	3	1	23	0	1	0.62
CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)O)(C)C(=O)O	CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)O)(C)C(=O)O	InChI=1S/C20H30O3/c1-13-11-19-9-5-14-17(2,7-4-8-18(14,3)16(21)22)15(19)6-10-20(13,23)12-19/h14-15,23H,1,4-12H2,2-3H3,(H,21,22)	QFVOYBUQQBFCRH-UHFFFAOYSA-N	C20H30O3	318.4	3.8	318.21949481	318.21949481	57.5	583	0	2	3	1	23	0	1	0.6326530612244898
CC12CCCC(C1CCC34C2CCC(C3)C(=C)C4)(C)C(=O)O	CC12CCCC(C1CCC34C2CCC(C3)C(=C)C4)(C)C(=O)O	InChI=1S/C20H30O2/c1-13-11-20-10-7-15-18(2,16(20)6-5-14(13)12-20)8-4-9-19(15,3)17(21)22/h14-16H,1,4-12H2,2-3H3,(H,21,22)	NIKHGUQULKYIGE-UHFFFAOYSA-N	C20H30O2	302.5	5.4	302.224580195	302.224580195	37.3	538	0	1	2	1	22	0	1	1.0
CC12CCC3C4(CCCC(C4CCC3(C1)CC2=O)(C)C(=O)O)C	CC12CCC3C4(CCCC(C4CCC3(C1)CC2=O)(C)C(=O)O)C	InChI=1S/C20H30O3/c1-17-9-5-14-18(2)7-4-8-19(3,16(22)23)13(18)6-10-20(14,12-17)11-15(17)21/h13-14H,4-12H2,1-3H3,(H,22,23)	KFVUFODCZDRVSS-UHFFFAOYSA-N	C20H30O3	318.4	4.3	318.21949481	318.21949481	54.4	583	0	1	3	1	23	0	1	0.5686274509803921
